number of bedrooms,number of bathrooms,living area,lot area,number of floors,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,Price
3,1.5,1570,6700,1,7,1570,0,1956,122030,52.8322,-114.324,1570,419000
3,2.5,1930,10460,2,8,1930,0,1996,122015,52.7238,-114.351,2290,407500
3,2,1960,13100,1,8,1650,310,1957,122031,52.6719,-114.53,1960,403000
4,2.5,3630,42884,1.5,9,2300,1330,1979,122023,52.4917,-114.38,2830,400000
3,3.25,1320,1327,2,8,1040,280,2008,122032,52.8806,-114.573,1440,385000
4,1.75,1560,8700,1,7,1560,0,1967,122033,52.9574,-114.371,2080,382500
4,3,3110,7231,2,8,3110,0,1997,122023,52.5579,-114.381,2820,367500
3,1,1090,6435,1,7,1090,0,1955,122034,52.7634,-114.555,1340,365000
3,2,1930,11947,1,8,1930,0,1966,122035,52.5972,-114.341,2200,342000
2,2,1350,2560,1,8,1350,0,1976,122005,52.8644,-114.297,1790,335000
3,2.25,1580,16215,1,7,1580,0,1978,122036,52.7943,-114.087,1450,335000
3,1,1160,9180,1,7,1160,0,1968,122037,52.9727,-114.262,1160,315000
3,1.5,1340,7912,1.5,7,1340,0,1955,122038,52.9958,-114.529,1480,313000
2,1,850,6174,1,7,850,0,1950,122014,52.9652,-114.518,1100,308500
3,2.5,2540,5050,2,7,2540,0,2006,122035,52.5658,-114.245,2280,300000
2,2.5,1630,1368,2,7,1280,350,2009,122034,52.7789,-114.553,1590,295000
3,3,1850,19966,1,7,1090,760,1992,122024,52.5793,-114.224,1410,287200
4,2.5,2200,9397,2,8,2200,0,1987,122039,52.5706,-114.459,2310,285000
3,2.5,2090,10834,1,8,1360,730,1987,122040,52.5837,-114.493,1750,285000
3,1.75,1800,23103,1,7,1800,0,1968,122041,52.8817,-114.096,1410,284000
3,1.5,1180,10277,1,6,1180,0,1983,122025,52.718,-113.977,1680,275000
4,2,1480,8625,1,7,1480,0,1974,122042,52.692,-114.383,2130,260000
3,1.75,1370,5858,1,7,1370,0,1987,122043,52.6115,-114.503,1400,257950
3,1.5,1200,9720,1,7,1200,0,1965,122035,52.6525,-114.343,1380,242500
2,1,1210,9400,1,6,1210,0,1949,122034,52.7642,-114.55,1580,235000
4,2.75,2920,6605,2,8,2920,0,2012,122015,52.7209,-114.334,3030,625000
2,1,900,5000,1,7,900,0,1944,122007,52.9183,-114.585,1280,553000
3,2.5,1650,14054,1,7,1130,520,1986,122012,52.7121,-114.207,1940,379880
3,1,1010,9945,1,6,1010,0,1973,122008,52.7624,-113.953,1390,310000
3,2.5,2850,7130,2,10,1990,860,1980,122044,52.833,-114.479,2280,783500
2,2.5,2680,7392,1,9,2680,0,2004,122045,52.947,-114.216,2315,775000
4,2,2280,6010,1,7,1140,1140,1900,122044,52.8334,-114.479,2240,628000
3,2.5,2200,7350,1,8,1570,630,1988,122046,52.6695,-114.351,2350,365000
4,2.5,2530,9933,2,8,2010,520,1990,122023,52.4954,-114.406,2140,331950
7,8,13540,307752,3,12,9410,4130,1999,122045,52.8975,-114.176,4850,2280000
2,2.5,2220,4000,2,9,2220,0,2000,122047,52.8664,-114.47,1870,1430000
5,3.5,4010,8510,2,9,2850,1160,1971,122004,52.8878,-114.476,2610,1400000
4,2.5,4340,141570,2.5,11,4340,0,1992,122045,52.9105,-114.238,2720,1090000
5,2.75,3190,16920,1,9,1690,1500,1976,122027,52.7941,-114.35,3100,1030000
3,1,1330,77972,1,7,1330,0,1928,122010,52.9191,-114.349,1340,900000
4,4.25,4420,5750,2,10,3410,1010,2006,122012,52.7704,-114.263,4420,890000
5,3.5,4490,6000,2,10,3200,1290,2006,122012,52.7696,-114.263,4530,890000
4,3,3690,9892,2,10,3690,0,1998,122020,52.8237,-114.172,3430,865000
4,2.75,2600,5390,1,8,1300,1300,1960,122032,52.8682,-114.587,2550,855000
4,3,2170,4000,2,9,1610,560,1982,122047,52.8496,-114.482,1670,831000
4,2.5,3400,9692,2,9,3400,0,2007,122005,52.938,-114.299,3070,830000
6,1.75,2920,5000,2.5,9,2780,140,1908,122044,52.8324,-114.485,2020,823000
5,2.5,3180,13806,2,10,3180,0,1990,122010,52.882,-114.372,3180,800866
3,2.5,3240,7857,2,10,3240,0,1994,122020,52.8157,-114.228,2970,800000
3,1.75,1330,7500,1,8,1330,0,1961,122048,52.8374,-114.385,1690,787000
4,2.5,2730,10281,2,9,2730,0,1996,122019,52.8527,-114.219,2750,780000
3,2,2350,5700,1.5,8,1810,540,1939,122047,52.869,-114.5,2170,770000
4,2.5,2120,10202,1,7,1620,500,1960,122049,52.8158,-114.36,1570,755000
4,1.75,2010,3600,1.5,7,2010,0,1902,122003,52.8637,-114.561,2010,740000
4,2.5,3180,21904,2,9,3180,0,2000,122015,52.745,-114.307,3715,736500
4,2.5,2450,4247,2,8,2450,0,2013,122005,52.9348,-114.303,2970,712198
3,2.5,2490,4343,2,9,2490,0,2003,122011,52.7793,-114.183,2130,705380
3,2.5,1680,2000,3,9,1680,0,1909,122004,52.8904,-114.48,1950,670000
4,2.5,2800,5900,1,8,1660,1140,1963,122006,52.9109,-114.476,2580,665000
4,1,1390,4240,1,7,1050,340,1924,122028,52.8896,-114.528,1810,657100
3,1.5,2160,9000,1,8,1400,760,1949,122050,52.9541,-114.559,3010,650000
4,2.5,2440,6651,2,9,2440,0,2014,122007,52.9271,-114.561,1350,631625
4,2.25,1990,7712,1,8,1210,780,1973,122012,52.7988,-114.277,1720,627000
3,1.75,1480,2185,2.5,9,1480,0,2005,122033,52.9245,-114.36,1480,620000
3,2,1800,5000,1,7,1080,720,1942,122006,52.9038,-114.487,1800,618500
4,1.75,2300,11700,1,9,1960,340,1977,122005,52.8631,-114.284,2840,615000
3,1.75,1670,39639,1,8,1670,0,1976,122020,52.8229,-114.179,2330,600000
3,1.75,1880,6360,1,7,1040,840,1945,122006,52.9178,-114.476,1770,600000
2,1,1770,8640,1.5,6,1520,250,1949,122007,52.9226,-114.553,1060,585000
2,1,2540,7000,1,8,1320,1220,1942,122051,52.7559,-114.451,2160,580000
3,2.25,2010,6000,1,8,1330,680,1975,122005,52.9212,-114.305,2080,570000
3,2.5,1900,8744,2,8,1900,0,1987,122019,52.85,-114.233,2030,560000
3,2.5,1940,3211,2,8,1940,0,2009,122012,52.7944,-114.283,1880,555000
2,1,1140,5400,1,7,1140,0,1908,122047,52.8505,-114.484,1520,549000
4,2.5,2910,6338,2,8,2910,0,2008,122015,52.7104,-114.316,2500,549000
5,2.75,2740,8426,1,8,1370,1370,1960,122027,52.7863,-114.374,2020,541125
2,3,1270,1175,2,8,1110,160,2000,122028,52.8934,-114.53,1290,531000
5,1.75,2550,71874,1,7,1810,740,1960,122012,52.7145,-114.27,2170,525888
3,1.75,1560,5520,1,6,780,780,1944,122032,52.8815,-114.589,1470,524000
3,2.5,1790,2700,2,8,1790,0,2010,122012,52.794,-114.283,1890,509900
4,1,2070,7519,1,7,1160,910,1963,122029,52.862,-114.309,1730,501000
4,2.5,2910,6479,2,7,2910,0,2006,122008,52.7702,-114.077,2320,499000
6,2.75,3200,9200,1,8,1600,1600,1953,122052,52.722,-114.554,2220,497300
4,1.75,2010,9211,1,7,1470,540,1977,122033,52.9506,-114.361,1840,487585
4,3,2340,7048,1,8,1340,1000,1979,122033,52.9606,-114.417,1440,485000
3,2.5,3040,4535,2,9,3040,0,2007,122053,52.74,-114.375,2670,478000
4,2,1480,3844,1.5,7,1480,0,1928,122038,52.9342,-114.542,1480,449250
5,2,1840,9240,1,7,1540,300,1942,122038,52.9608,-114.53,1200,435000
2,2.5,1590,1426,2,8,1590,0,2014,122011,52.7741,-114.203,1590,419190
3,2,1410,6030,1.5,7,1410,0,1930,122028,52.9294,-114.537,1410,418000
3,2.5,1408,989,3,8,1408,0,2005,122006,52.9156,-114.505,1408,416286
3,2.25,1620,998,2.5,8,1540,80,2010,122012,52.7701,-114.217,1620,415000
3,2.25,1800,36704,1,8,1360,440,1978,122012,52.6988,-114.203,2730,410000
3,2.25,1410,1332,3,8,1410,0,2005,122028,52.9216,-114.53,1430,406100
2,3,1410,1240,2,8,1140,270,2006,122016,52.7521,-114.58,1410,405000
2,1.75,2110,9519,1,7,2110,0,1948,122014,52.9804,-114.496,1480,400000
2,1,840,5510,1,7,840,0,1955,122016,52.7547,-114.581,1630,400000
3,2.5,2230,4000,2,7,2230,0,1954,122054,52.8101,-114.496,1310,398750
5,2.5,3090,12750,1,8,1750,1340,1968,122018,52.5708,-114.525,1760,384900
4,1.75,1970,9389,1,7,1140,830,1960,122038,53.0071,-114.529,1820,379950
3,3,1571,10800,3,8,1571,0,2008,122022,52.9638,-114.499,1520,366750
5,1,1120,9022,1.5,7,1120,0,1962,122033,52.9596,-114.43,1310,340000
2,1.5,1160,1438,2,7,1160,0,2001,122054,52.8217,-114.485,1220,340000
2,1,1140,5250,1.5,6,1140,0,1949,122038,52.961,-114.531,1450,329950
4,2.5,2370,6500,2,9,2370,0,1998,122023,52.5628,-114.363,2590,328000
4,2.75,2310,5000,2,7,2310,0,2006,122024,52.5914,-114.225,1980,309950
3,2.5,1880,7838,2,7,1880,0,1994,122042,52.6739,-114.38,1810,309950
3,2,1050,10072,1,7,1050,0,1986,122055,52.9641,-114.166,1130,300000
3,1,1450,6000,1,7,1450,0,1953,122051,52.7538,-114.477,1170,287000
3,2,1550,15040,1,6,1550,0,1958,122015,52.7173,-114.289,1510,249950
3,1.75,1920,9306,1,7,1000,920,1984,122039,52.5619,-114.457,1860,245000
2,1,1200,8063,1,6,1200,0,1958,122043,52.6504,-114.514,1200,232000
4,1.5,1240,9600,1,7,1240,0,1971,122018,52.5506,-114.587,1240,220000
4,1.5,1120,5427,1,6,1120,0,1969,122035,52.5928,-114.277,1150,219900
3,1,1340,306848,1,5,1340,0,1953,122055,52.9834,-114.102,1800,210000
5,2,2050,10200,1,6,1430,620,1956,122043,52.6436,-114.523,1940,210000
2,1,810,7158,1,6,810,0,1944,122056,52.7182,-114.515,1090,206000
3,1.75,1490,10125,1,7,1490,0,1962,122039,52.5375,-114.474,2488,184000
5,4,4510,15175,2,10,4510,0,1969,122057,52.7609,-114.418,3510,1870000
5,5,4490,10279,2,10,3930,560,2013,122048,52.8274,-114.392,2490,1800000
4,3.25,3760,10920,1.5,9,2400,1360,1950,122004,52.8987,-114.454,3430,1580000
4,2.25,3490,6906,2,10,2280,1210,1928,122032,52.8724,-114.597,2540,1230000
4,2.75,3370,8103,1,9,1970,1400,1970,122016,52.7532,-114.573,2120,1140000
3,2.5,2200,1970,2,9,1610,590,2008,122013,52.8726,-114.517,1890,1050000
3,2.5,2690,4047,3,10,2690,0,2014,122007,52.9097,-114.575,2040,979000
3,3.5,3020,4082,2,9,2080,940,1954,122032,52.881,-114.599,2060,910000
4,2,3740,32417,2,9,3740,0,2000,122045,52.9028,-114.202,3180,860000
4,2.5,3040,6425,2,8,3040,0,2008,122005,52.9088,-114.307,3040,776000
4,2.5,3880,14550,2,10,3880,0,1987,122019,52.8678,-114.23,3240,762300
4,2.5,2290,12047,2,9,2290,0,1988,122027,52.7899,-114.295,3130,736000
4,2.5,3200,12369,2,10,3200,0,1998,122015,52.7573,-114.333,3770,725126
4,2.5,3030,7864,2,9,3030,0,1999,122019,52.8375,-114.207,2790,685000
2,1,930,36478,1,6,930,0,1951,122027,52.7999,-114.354,2800,675000
4,3.5,3380,8330,2,8,3380,0,2000,122050,53.0041,-114.569,2220,655500
3,1.5,1630,7475,1,7,1160,470,1940,122006,52.9025,-114.462,2320,650000
5,3.5,3480,36615,2,8,2490,990,1983,122020,52.8041,-114.24,2540,650000
4,2,2060,5000,1,7,1030,1030,1949,122007,52.9292,-114.569,1280,612500
4,3,2450,10117,1,8,1580,870,1967,122027,52.7994,-114.322,2530,610000
4,2.5,2150,37981,2,9,2150,0,1985,122005,52.9527,-114.288,2450,609000
4,2.5,2110,13850,2,9,2110,0,1987,122012,52.7797,-114.267,2520,606000
4,2.25,2260,29930,2,8,1400,860,1977,122027,52.7989,-114.316,2770,599000
4,3.25,3569,8327,2,10,3569,0,2013,122042,52.6895,-114.398,2550,580000
3,1.75,2130,6500,1,8,1170,960,1954,122032,52.8724,-114.576,2020,575000
4,3,3100,15480,2,8,2400,700,1996,122058,52.9766,-114.431,2000,563000
5,2.25,3040,8111,2,8,3040,0,1984,122005,52.9457,-114.293,2020,562000
3,2,2000,5500,2,7,2000,0,1916,122016,52.7752,-114.583,1840,561000
3,2.5,1850,10109,2,8,1850,0,1991,122033,52.9463,-114.419,1780,535000
5,2.75,1800,3780,1.5,7,1400,400,1926,122028,52.9131,-114.533,1400,533000
5,2.5,2910,5133,1,7,1690,1220,1964,122029,52.8103,-114.309,2830,530000
3,2.5,2970,11985,1,9,1770,1200,1995,122019,52.8659,-114.242,2990,525000
3,2.5,2460,54885,2,8,2460,0,1980,122015,52.7296,-114.336,2770,520000
3,1.5,1430,8000,1,7,1430,0,1956,122030,52.8174,-114.326,1450,518000
3,2.5,1790,7167,2,8,1790,0,1989,122019,52.8476,-114.235,1680,515000
4,2.5,2000,5684,2,8,2000,0,1996,122058,52.9743,-114.41,2210,513000
3,2.5,1480,1171,3,8,1480,0,2006,122047,52.85,-114.49,1480,500000
2,1.75,1170,2400,1,7,740,430,1903,122028,52.8953,-114.523,1570,499000
5,2,2020,5000,1.5,7,2020,0,1938,122007,52.9249,-114.56,1510,488000
3,2,1420,4080,1.5,7,1420,0,1905,122028,52.9172,-114.539,1420,485000
2,1.75,1660,6000,1,7,1160,500,1942,122004,52.8924,-114.481,1660,484000
4,2.5,2740,45732,2,8,2740,0,1995,122037,52.97,-114.238,2080,483500
6,3,3470,117612,1.5,7,3470,0,1924,122058,52.9963,-114.424,2120,475000
2,1,1030,4400,1,7,1030,0,1924,122007,52.911,-114.551,1400,469000
3,2.25,1970,11088,1,8,1180,790,1967,122014,52.9951,-114.467,1970,465000
2,2.25,1230,929,2,8,1020,210,2004,122044,52.8491,-114.491,1270,460000
5,2.5,2240,7770,1,7,1340,900,1978,122033,52.9498,-114.361,1820,455000
2,2,1100,3000,1.5,7,1100,0,1912,122007,52.9097,-114.552,1390,450000
4,2,1520,7983,1,7,1520,0,1967,122033,52.9657,-114.383,1520,425000
4,2.25,2810,23400,1,7,1710,1100,1958,122043,52.625,-114.501,1860,407000
4,1.75,1840,10720,1,7,960,880,1958,122029,52.8374,-114.315,1840,404000
4,2,1440,7680,1,7,1200,240,1971,122033,52.9545,-114.39,1460,397000
3,1.75,1260,6500,1,7,1260,0,1966,122029,52.8524,-114.306,1500,390000
5,3.75,2890,5000,1,7,1310,1580,2006,122059,52.8001,-114.486,1930,390000
3,1,1230,9568,1,7,1230,0,1962,122053,52.769,-114.369,1270,387000
3,1.75,1900,5520,1,7,1280,620,1982,122051,52.7849,-114.482,1330,385000
4,1.75,1500,11600,1,7,1000,500,1955,122058,52.9673,-114.431,1740,379900
3,2,1270,1320,3,8,1270,0,2006,122028,52.9237,-114.532,1370,369950
3,1.5,1410,9647,1,8,1410,0,1961,122050,52.9908,-114.551,2090,367500
3,1.5,1310,8160,1,7,1310,0,1950,122038,52.9591,-114.529,1090,365000
3,2.25,1640,14374,1,7,1140,500,1963,122060,52.6776,-114.522,2020,362000
4,2,2680,18768,1,8,2680,0,1965,122039,52.5482,-114.469,1230,360000
3,1,1350,7740,1,6,860,490,1947,122022,52.9398,-114.481,1130,353000
4,2.5,2331,3826,2,8,2331,0,2007,122046,52.6744,-114.372,2441,345000
3,1,1110,6250,1,7,1110,0,1956,122006,52.9277,-114.482,2010,345000
2,1,720,6687,1,6,720,0,1942,122007,52.9301,-114.552,840,329350
4,2.5,1890,12040,1,7,980,910,1980,122034,52.781,-114.546,1590,325000
3,1,1510,6083,1,6,860,650,1940,122006,52.9266,-114.514,1510,313950
4,2,1300,7054,1,7,1300,0,1950,122052,52.7371,-114.559,1560,312000
3,2.25,1980,8000,1,9,1560,420,1974,122018,52.5449,-114.568,2360,295000
4,2.5,2000,5390,2,7,2000,0,2003,122035,52.6032,-114.319,2330,284000
3,1.75,1630,11800,1,7,1630,0,1971,122025,52.7163,-113.92,2090,280000
3,1.75,1580,8151,1,7,1100,480,1962,122043,52.5972,-114.502,1650,279900
3,2.5,1650,13816,2,7,1650,0,1998,122041,52.8853,-114.102,1650,272000
3,1,1050,6874,1,6,1050,0,1954,122038,52.992,-114.545,1500,250000
3,1.75,1490,8366,1,7,1010,480,1975,122035,52.605,-114.33,1490,234000
2,1,900,5160,1,6,900,0,1952,122034,52.755,-114.546,900,219000
3,1.75,1850,7684,1,8,1320,530,1979,122018,52.5275,-114.56,1940,218000
3,1.75,1690,7735,1,7,1060,630,1976,122039,52.5624,-114.47,1580,197000
3,1.5,800,8850,1,6,800,0,1959,122018,52.5566,-114.538,820,191000
3,1,1010,7034,1,7,1010,0,1954,122042,52.72,-114.41,1440,175000
3,1.5,1420,8580,1,6,1420,0,1962,122018,52.5376,-114.552,1200,136500
2,1,780,16344,1,5,780,0,1942,122056,52.7039,-114.47,1700,78000
7,4.5,6210,8856,2.5,11,4760,1450,1910,122061,52.8607,-114.544,2940,3200000
5,4.5,4270,8076,2,11,3400,870,2007,122010,52.929,-114.396,4100,1530000
6,2.5,3560,6480,2.5,11,3560,0,1914,122047,52.857,-114.494,2780,1500000
3,3,2960,5500,2,10,2440,520,1937,122032,52.8656,-114.592,2960,1340000
4,4,4460,103382,2,11,4460,0,2001,122045,52.864,-114.187,3470,1150000
4,1.5,2310,13300,1,7,1890,420,1950,122048,52.8532,-114.4,2840,1110000
4,3.5,3900,8391,2,10,3900,0,2006,122010,52.9279,-114.395,3820,1040000
4,2.25,1890,5940,1,9,1470,420,1963,122047,52.8616,-114.493,2430,940000
5,3.75,4130,226076,2,9,3170,960,1985,122037,52.945,-114.255,4130,900000
4,2,2210,8556,1,8,1210,1000,1954,122032,52.8798,-114.586,2190,794154
3,2,2540,7200,1.5,8,1600,940,1905,122054,52.8272,-114.482,2040,775000
4,2.75,2410,9549,1,7,1780,630,1956,122010,52.8803,-114.387,2090,758000
3,2.75,2520,23790,1,7,1360,1160,1946,122003,52.8752,-114.563,1800,750000
4,2.75,2600,6050,2,8,1960,640,1949,122009,52.7956,-114.59,1990,749950
4,2.5,2650,4316,1.5,8,1520,1130,1905,122009,52.8166,-114.579,1690,705000
3,2,1760,6428,1,7,980,780,1942,122032,52.8688,-114.587,1760,690000
3,1.75,1680,10500,1,8,1680,0,1959,122049,52.8398,-114.359,2250,675000
4,4,3680,18804,2,10,3680,0,1990,122019,52.8493,-114.204,3200,675000
3,2.5,3240,108366,2,10,3240,0,1991,122035,52.557,-114.284,2090,651000
3,3,2270,5175,2,9,2130,140,2002,122053,52.746,-114.393,2850,640000
3,2.5,2680,327135,2,8,2680,0,1995,122062,52.6083,-114.193,2020,630000
2,2.25,2550,5663,1,10,1720,830,2011,122053,52.7604,-114.392,2560,630000
3,2.5,2030,6500,2,8,2030,0,1988,122012,52.7954,-114.282,2030,618080
3,3,1680,1570,3,8,1680,0,2014,122028,52.8872,-114.536,1640,610950
3,2.5,2460,108900,1,9,1860,600,1977,122012,52.7124,-114.19,2870,600000
9,4.5,3830,6988,2.5,7,2450,1380,1938,122028,52.9227,-114.528,1460,599999
3,1.75,1960,4788,1,7,1090,870,1920,122006,52.9046,-114.502,1960,599000
4,2,2510,13695,1,7,1280,1230,1961,122010,52.9305,-114.364,1220,581000
4,2,1650,5000,1,7,1650,0,1955,122007,52.9081,-114.564,1690,575000
3,2,2350,5080,1.5,8,1780,570,1929,122051,52.7816,-114.453,1700,568000
3,3,4120,60392,2,9,3180,940,1994,122041,52.9104,-114.103,2770,560000
3,2,1860,13374,1,8,1860,0,1985,122012,52.7697,-114.244,1960,560000
7,5.75,3700,7647,2,8,3700,0,1948,122014,52.9693,-114.479,2510,540000
3,1.75,2720,149410,1.5,9,2720,0,1988,122041,52.9392,-114.082,2560,535000
3,2.5,2280,2289,2,8,1880,400,2006,122012,52.7675,-114.263,2280,535000
3,1,1340,4284,1,7,1080,260,1910,122004,52.8933,-114.514,1960,530000
2,2,1550,2400,1.5,7,1550,0,1900,122028,52.884,-114.536,1180,526000
3,2.25,1170,1249,3,8,1170,0,2014,122026,52.9022,-114.571,1350,519950
3,1.75,1580,9147,1,7,1210,370,1967,122029,52.8369,-114.302,2600,515000
4,2.5,2430,5203,2,8,2430,0,2003,122014,52.9702,-114.507,2260,510000
3,2.75,1540,6760,1,7,1210,330,1980,122033,52.9463,-114.402,1540,503000
2,1,1010,3885,1.5,7,1010,0,1906,122047,52.8524,-114.494,1770,500000
3,2.5,1940,37565,1,8,1940,0,1987,122012,52.7101,-114.253,2560,500000
3,1,990,6000,1,6,990,0,1943,122004,52.9018,-114.457,1250,495000
4,2.75,2656,21195,2,9,2656,0,2014,122039,52.5462,-114.462,1860,495000
4,2.5,3305,16164,1.5,7,2245,1060,1922,122038,52.9863,-114.528,1620,492000
3,2,1610,4160,1,7,1010,600,1917,122016,52.7721,-114.578,1040,485000
4,2.5,2180,11200,1,8,2180,0,1968,122021,52.9776,-114.276,1790,480500
2,1,820,2723,1,7,820,0,1921,122028,52.8923,-114.529,1370,475000
3,2,1760,9055,2,7,1760,0,1985,122005,52.8834,-114.318,2010,460000
3,1.75,1500,6180,1,6,1060,440,1947,122051,52.7989,-114.474,1740,440000
2,2,1350,3900,1,8,1350,0,2003,122045,52.9394,-114.22,1440,428000
2,2.5,1150,1027,3,8,1150,0,2008,122028,52.8834,-114.546,1360,425000
2,1.5,1040,3500,1.5,6,1040,0,1904,122054,52.818,-114.494,1340,420000
3,2.25,1770,8165,2,7,1770,0,1977,122033,52.9466,-114.426,1650,420000
3,2.25,1606,1452,3,8,1606,0,2009,122022,52.9475,-114.474,1516,417250
4,3,1830,9548,2,7,1830,0,1991,122058,52.9679,-114.414,1740,415000
4,2.75,2140,13000,1,7,1320,820,1968,122058,52.9983,-114.442,2360,409500
3,2.25,1660,8307,1,8,1660,0,1961,122038,52.9875,-114.542,2510,405000
5,1.75,3000,6000,1,7,1500,1500,1958,122063,52.722,-114.415,2230,380000
2,1,1640,17335,1,7,840,800,1978,122045,52.8697,-114.143,2440,379500
3,2.5,1830,13042,2,8,1830,0,1990,122024,52.6038,-114.232,1940,375000
5,2.75,2410,5003,1,7,1410,1000,2008,122051,52.7598,-114.464,1590,365000
2,1,820,6400,1,7,820,0,1944,122064,52.78,-114.569,1490,361280
5,2.5,2420,8560,1,7,1620,800,1978,122051,52.762,-114.475,2210,352000
3,1,1010,9360,1,6,1010,0,1981,122010,52.9174,-114.358,1470,350000
3,2.25,1630,12295,2,7,1630,0,1985,122046,52.6579,-114.351,1730,339950
2,1,820,681,3,8,820,0,2006,122028,52.8919,-114.542,820,339950
3,2,1570,7200,1,7,1570,0,1952,122014,52.9801,-114.504,1410,335000
3,1,1040,16986,1,7,1040,0,1968,122015,52.7112,-114.287,1660,314950
3,1.75,1870,12381,1,8,1870,0,1957,122040,52.5658,-114.51,1950,314500
3,1.75,2190,1716,1,8,2190,0,1967,122018,52.5398,-114.571,1980,313000
3,1.75,1840,10723,1,7,1220,620,1974,122046,52.659,-114.344,1590,310000
3,1.75,2070,37904,1,7,1420,650,1973,122046,52.655,-114.376,2011,310000
3,2.5,1600,3573,2,7,1600,0,2013,122053,52.737,-114.371,1500,305450
2,1,760,3001,1,6,760,0,1913,122054,52.8174,-114.501,1750,300000
3,2.5,1600,4271,2,7,1600,0,2000,122039,52.5603,-114.459,1700,280000
3,2.5,1600,7000,2,8,1600,0,1993,122024,52.5834,-114.247,1700,275000
5,1.5,1500,7112,1,6,760,740,1920,122031,52.6992,-114.54,1200,265000
5,2.25,2060,8632,1,7,1030,1030,1962,122052,52.7177,-114.525,1010,255000
3,1.75,1250,10122,1,7,1250,0,1994,122062,52.5577,-114.191,1980,253000
1,1,1100,4373,1,6,820,280,1947,122031,52.6953,-114.528,1100,250000
